id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
SHSUP-TB00001_177,"CBD Patches | Pack of 30 | 24-Hour Relief | 24mg CBD Isolate | Convenient - Discreet - Targeted Application","Discover targeted relief with CBD Patches. Each pack includes 12 patches with 24mg CBD isolate for 24-hour support. Easy to use and discreet.",http://localhost/sincehencestore/wp-content/uploads/2024/06/184827848452.png,http://localhost/sincehencestore/product/pain-relief-24mg-extra-strength-patches-30-pack/,"525","SinceHence Suppliments",129.95USD,in stock,SHSUP-TB00001_177,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,64.95USD,new,published,,,,,,,
SHSUP-TB00002_175,"CBD Patches | Pack of 12 | 24-Hour Relief | 24mg CBD Isolate | Convenient - Discreet - Targeted Application","Discover targeted relief with CBD Patches. Each pack includes 12 patches with 24mg CBD isolate for 24-hour support. Easy to use and discreet.",http://localhost/sincehencestore/wp-content/uploads/2024/06/210005767551.png,http://localhost/sincehencestore/product/pain-relief-24mg-extra-strength-patches-12-pack/,"525","SinceHence Suppliments",59.95USD,in stock,SHSUP-TB00002_175,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,29.95USD,new,published,,,,,,,
SHSUP-TB00003_173,"CBD Patches | Pack of 6 | 24-Hour Relief | 24mg CBD Isolate | Convenient - Discreet - Targeted Application","Discover targeted relief with CBD Patches. Each pack includes 12 patches with 24mg CBD isolate for 24-hour support. Easy to use and discreet.",http://localhost/sincehencestore/wp-content/uploads/2024/06/4809285250.png,http://localhost/sincehencestore/product/pain-relief-24mg-extra-strength-patches-6-pack/,"525","SinceHence Suppliments",29.95USD,in stock,SHSUP-TB00003_173,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,14.95USD,new,published,,,,,,,
SHSUP-TB00004_171,"Bio Frequency Pain Relief Patches | Drug-Free Pain Relief for Back - Neck - Knee Pain | Non-Invasive Pain Management","Discover immediate relief from soreness with Bio Frequency Pain Patches – natural ingredients & bio-frequency technology combined for effective pain management.",http://localhost/sincehencestore/wp-content/uploads/2024/06/92062759749.png,http://localhost/sincehencestore/product/the-pain-patch/,"525","SinceHence Suppliments",49.95USD,in stock,SHSUP-TB00004_171,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25.95USD,new,published,,,,,,,
SHSUP-TB00005_169,"Pain Relief Cream | 250MG CBD Isolate | Fast-Acting | Soothing | Cruelty-Free | Made in USA","Discover fast-acting comfort with our CBD Relief Cream - a perfect blend of natural ingredients designed to target soreness and enhance skin health.",http://localhost/sincehencestore/wp-content/uploads/2024/06/39694949848.png,http://localhost/sincehencestore/product/pain-relief-cream-jar/,"525","SinceHence Suppliments",45.95USD,in stock,SHSUP-TB00005_169,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,27.95USD,new,published,,,,,,,
SHSUP-TB00006_167,"Pain Relief Patches | 8mg Topical CBD Patches | Pain Relief | Reduced Inflammation | Improved Sleep","Experience sustained well-being with Sincere Supplements’ CBD Patches—easy-to-use topicals offering pure hemp-derived support in every patch. 🌿",http://localhost/sincehencestore/wp-content/uploads/2024/06/pain-relief-patches-mockup.png,http://localhost/sincehencestore/product/pain-relief-patches/,"525","SinceHence Suppliments",49.95USD,in stock,SHSUP-TB00006_167,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24.95USD,new,published,,,,,,,
SHSUP-TB00007_165,"CBD Veggie Caps – 300MG | Pain Relief Suppliments | Vegan | GMO-Free | Made in USA","Discover pure hemp wellness with our 720MG CBD Patches - perfect for sustained release & discreet daily support. Shop now for natural balance! 🌿",http://localhost/sincehencestore/wp-content/uploads/2024/06/89098701946.png,http://localhost/sincehencestore/product/pain-relief-capsule-single-bottle/,"525","SinceHence Suppliments",49.95USD,in stock,SHSUP-TB00007_165,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25.95USD,new,published,,,,,,,
SHSUP-TB00008_163,"Peppermint CBD Oil | Pain Relief  | 500MG | Refreshing Peppermint Flavor | GMO-Free | Made in USA","Discover fast-acting comfort with our CBD Relief Cream - a perfect blend of natural ingredients designed to target soreness and enhance skin health. 🌿",http://localhost/sincehencestore/wp-content/uploads/2024/06/142361237745.png,http://localhost/sincehencestore/product/pain-relief-oil-single-bottle/,"525","SinceHence Suppliments",59.95USD,in stock,SHSUP-TB00008_163,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,29.95USD,new,published,,,,,,,
SHSUP-TB00009_161,"Focus Patches | 30 Days Topical Skin Patches | Enhance Focus and Mental Clarity | Natural Ingredients","Boost concentration & enhance cognitive function with Sincere Science Focus Patches - natural ingredient-infused topical solution for sustained mental sharpness",http://localhost/sincehencestore/wp-content/uploads/2024/06/145428219344.png,http://localhost/sincehencestore/product/focus-patches-30-day/,"525","SinceHence Suppliments",59.95USD,in stock,SHSUP-TB00009_161,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,29.95USD,new,published,,,,,,,
SHSUP-TB00010_159,"Focus Patches | 15 Days Topical Skin Patches | Enhance Focus and Mental Clarity | Natural Ingredients","Boost concentration & enhance cognitive function with Sincere Science Focus Patches - natural ingredient-infused topical solution for sustained mental sharpness.",http://localhost/sincehencestore/wp-content/uploads/2024/06/66534241843.png,http://localhost/sincehencestore/product/focus-patches-15-day/,"525","SinceHence Suppliments",29.95USD,in stock,SHSUP-TB00010_159,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,14.95USD,new,published,,,,,,,
SHSUP-TB00011_157,"Focus Patches | 3 Days Topical Skin Patches | Enhance Focus and Mental Clarity | Natural Ingredients","Boost concentration & enhance cognitive function with Sincere Science Focus Patches - natural ingredient-infused topical solution for sustained mental sharpness.",http://localhost/sincehencestore/wp-content/uploads/2024/06/10338996342.png,http://localhost/sincehencestore/product/focus-patches-3-day/,"525","SinceHence Suppliments",9.95USD,in stock,SHSUP-TB00011_157,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,7.95USD,new,published,,,,,,,
SHSUP-TB00012_155,"Brain Support Capsules | Blood Sugar Support | Natural Dietary Supplement","Support healthy blood sugar levels with Blood Sugar Support by SinceHence Supplements. A powerful blend of vitamins, minerals, and herbal extracts. GMO-free and vegan-friendly.",http://localhost/sincehencestore/wp-content/uploads/2024/06/43843698541.png,http://localhost/sincehencestore/product/brain-support-capsules/,"525","SinceHence Suppliments",49.95USD,in stock,SHSUP-TB00012_155,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24.95USD,new,published,,,,,,,
SHSUP-TB00013_153,"Blood Sugar Suppliments | Natural Suppliments |  Blood Sugar Support | 60 Capsules","Support healthy blood sugar levels naturally with SinceHence Supplements Blood Sugar Support. Packed with essential vitamins, minerals, and herbal extracts",http://localhost/sincehencestore/wp-content/uploads/2024/06/156366347840.png,http://localhost/sincehencestore/product/blood-sugar-capsules/,"525","SinceHence Suppliments",49.95USD,in stock,SHSUP-TB00013_153,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24.95USD,new,published,,,,,,,
SHSUP-TB00014_151,"Berberine Complex | Natural Dietary Supplement | 60 Capsules | Overall Wellness | Healthy Blood Sugar | Metabolic Health","Discover Berberine Complex by SinceHence Supplements, a powerful blend of Berberine HCI, Bitter Melon, and Banaba Leaf to support your health. GMO-free and vegan-friendly.",http://localhost/sincehencestore/wp-content/uploads/2024/06/83018918739.png,http://localhost/sincehencestore/product/berberine-capsules/,"525","SinceHence Suppliments",79.95USD,in stock,SHSUP-TB00014_151,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,39.95USD,new,published,,,,,,,
SHSUP-TB00015_149,"Uritic Acid Formula | Support Your Kidney and Gallbladder Health | Rich in Antioxidants and Vitamin C | 60 Capsules","Boost your thyroid health naturally with our Thyroid Support Formula containing essential nutrients & herbs in just one capsule!",http://localhost/sincehencestore/wp-content/uploads/2024/06/132041932038.png,http://localhost/sincehencestore/product/uric-acid-capsules/,"525","SinceHence Suppliments",59.95USD,in stock,SHSUP-TB00015_149,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,29.95USD,new,published,,,,,,,
SHSUP-TB00016_147,"Garcinia Complex | Potent Garcinia Cambogia Extract | 60 Capsules | Weight Management Support","Unlock natural weight management with SuperHero Supplements’ Garcinia Complex – featuring pure Garcinia Cambogia extract plus Vitamin C for enhanced vitality.",http://localhost/sincehencestore/wp-content/uploads/2024/06/158032986337.png,http://localhost/sincehencestore/product/garcinia-cambogia-capsules/,"525","SinceHence Suppliments",34.95USD,in stock,SHSUP-TB00016_147,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,17.95USD,new,published,,,,,,,
SHSUP-TB00017_145,"Digestive Enzyme Formula | 20 Potent Enzymes | Optimal Digestion | 60 Capsules | Supports Gluten Digestion | Plant-Based | Vegan","Discover Superb Supplements’ Digestive Enzyme Formula for improved digestion. Vegan-friendly and made with plant-based enzymes for optimal gut health.",http://localhost/sincehencestore/wp-content/uploads/2024/06/198132218136.png,http://localhost/sincehencestore/product/digestive-enzyme-capsules/,"525","SinceHence Suppliments",49.95USD,in stock,SHSUP-TB00017_145,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24.95USD,new,published,,,,,,,
SHSUP-TB00018_143,"Thyroid Support Suppliments | Simply Nature Supplements | 60 Capsules | Natural Ingredients","Boost your thyroid health naturally with our Thyroid Support Formula containing essential nutrients & herbs in just one capsule!",http://localhost/sincehencestore/wp-content/uploads/2024/06/162139758035.png,http://localhost/sincehencestore/product/thyroid-support-capsules/,"525","SinceHence Suppliments",44.95USD,in stock,SHSUP-TB00018_143,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,22.95USD,new,published,,,,,,,
SHSUP-TB00019_141,"Choless Suppliment |  Cholesterol Control Formula | 60 Vegan Capsules | Natural Ingredients","Experience sustained wellness with Science Supplements’ CBD Patches – easy-to-apply topical patches delivering consistent hemp-derived support.",http://localhost/sincehencestore/wp-content/uploads/2024/06/65760187434.png,http://localhost/sincehencestore/product/choless-capsules/,"525","SinceHence Suppliments",49.95USD,in stock,SHSUP-TB00019_141,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24.95USD,new,published,,,,,,,
